time,m1,m2,m3,p1,p2,p3
4.13,13,14,9,13,14,9
4.135,13,14,9,13,15,8
4.14,13,15,9,13,15,8
4.145,13,15,9,13,15,8
4.15,13,15,9,11,15,8
4.155,13,15,9,11,14,8
4.16,13,15,9,11,14,8
4.165,13,15,9,12,15,8
4.17,13,15,9,11,15,7
4.175,13,15,9,11,13,7
4.18,13,16,9,11,13,8
4.185,13,16,9,10,12,8
4.19,13,16,9,10,12,10
4.195,12,16,8,9,12,9
4.2,13,16,8,8,12,9
4.205,13,16,8,8,12,9
4.21,13,16,8,8,12,9
4.215,13,16,8,8,12,9
4.22,13,16,8,8,12,8
4.225,13,16,8,8,13,8
4.23,12,16,8,9,13,9
4.235,12,16,8,8,12,9
4.24,12,16,8,7,12,9
4.245,12,16,8,8,12,8
4.25,13,16,8,8,12,8
4.255,13,16,8,10,12,8
4.26,13,16,8,10,12,8
4.265,14,16,8,10,12,9
4.27,14,16,8,10,11,9
4.275,14,16,9,10,14,9
4.28,14,16,9,9,14,10
4.285,14,16,9,9,14,10
4.29,14,16,9,10,13,10
4.295,13,16,9,12,13,11
4.3,13,16,9,13,13,11
4.305,13,15,9,14,12,11
4.31,13,15,9,14,14,12
4.315,13,15,9,15,14,12
4.32,13,15,9,15,14,11
4.325,13,15,9,14,14,10
